,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,West Virginia,Washington,Wisconsin,Wyoming,Puerto Rico,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Idaho,Hawaii,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan
Total:,"461,758","69,752","247,788","22,685","133,424","566,391","81,287","1,968,048","201,234","4,439,868","799,570","29,629","520,956","234,536","405,811","865,715","144,197","240,439","30,112","333,883","4,736,692","256,526","28,992","1,038,160","29,640","1,020,967","287,374","20,276",,"168,111","57,399","933,128","142,480","10,537,437","542,977","513,631","87,378","96,158","4,227,052","1,035,983","100,996","259,586","1,797,717","341,915","161,872","206,680","167,110","193,205","47,946","903,533","1,129,732","671,091"
Mexico,"64,492","23,319","43,580","2,564","47,642","226,047","2,187","114,932","139,747","225,373","235,756","2,397","44,526","109,717","147,435","57,457","3,508","67,263","3,331","91,172","2,535,883","103,386",758,"53,864","1,864","240,394","88,562","8,441",,"49,403","4,157","513,583","59,287","4,140,352","228,598","26,909","15,683","4,166","268,587","254,885","52,011","5,322","652,286","105,727","42,190","85,368","32,521","32,296",964,"37,005","13,964","83,598"
India,"30,163","4,436","19,703",170,"6,496","9,486","7,905","248,849","3,093","160,769","66,430","1,363","60,167","9,834","17,628","87,256","5,857","13,113","1,008","21,276","253,898","7,501",857,"87,110","2,743","75,552","22,672",289,,"9,276",650,"40,183","8,282","486,876","21,981","41,480","11,434","2,984","85,926","89,194","1,956","1,705","160,356","28,740","9,913","14,203","11,347","6,688","1,318","61,911","69,848","71,810"
Iraq,"2,285",52,"2,546",85,"1,919","1,015",630,"1,175",871,"5,709","1,903",303,"3,256",671,"1,523","2,985",335,528,130,"6,539","18,508","1,611",294,"8,338",70,"4,625","1,116",5,,202,0,"10,733",241,"45,070","2,416",855,164,141,"5,008","2,909",958,52,"13,363",435,"1,800",752,"1,413",398,"1,129","1,604","3,774","56,590"
"China, excluding Hong Kong and Taiwan","18,562","2,831","16,861","1,313","4,196","17,184","4,950","74,395","3,224","397,220","26,451","1,240","34,939","7,115","21,341","62,929","5,313","9,000","1,288","11,929","103,432","7,152","1,663","39,240","2,515","65,878","15,702",672,,"8,775","1,138","22,644","4,087","639,505","18,822","20,996","5,816","3,646","53,364","33,508","3,485","19,598","76,387","24,106","10,019","8,302","6,572","6,390","2,723","43,664","92,586","37,714"
Canada,"11,816","1,656","5,381","3,853","1,477","10,472","8,637","15,336","3,059","55,631","18,952","2,629","14,413","3,763","14,621","15,692","2,525","7,745","1,092","8,598","48,739","8,148","5,024","13,131","1,162","45,302","6,873","1,022",,"3,229","2,843","42,798","2,258","132,843","14,105","13,742","1,146","2,172","111,793","18,187","5,266","4,275","18,201","6,987","2,481","3,223","3,472","2,581","9,622","8,412","30,222","35,976"
Lebanon,723,119,984,26,79,"1,254",464,"4,022",220,"6,926","1,793",88,"4,144",310,749,"2,348",604,364,10,709,"9,471",231,113,"3,543",138,"1,881",419,12,,452,55,"1,664",89,"30,979","1,030","1,149",64,211,"7,836","1,702",35,100,"2,899",780,605,403,316,435,62,"1,247","6,952","20,398"
Philippines,"9,370","3,511","9,822","1,362","2,400","84,894","2,474","83,800","4,947","87,854","17,509","2,074","14,808","5,329","14,216","20,326","1,989","10,119","1,439","9,750","99,561","5,434",659,"53,623","2,193","69,465","7,832","1,046",,"4,752","18,666","30,870","3,156","841,143","11,007","8,798","3,307","2,258","81,003","16,949","2,963","120,209","88,951","10,643","4,399","5,295","5,930","6,471","2,010","36,218","11,899","19,972"
Korea,"13,462",962,"7,635",827,"2,394","10,936","2,052","70,500","1,694","89,232","15,108",524,"12,833","4,996","11,714","28,661","1,255","4,578",840,"7,982","54,041","4,451",690,"53,432",633,"46,253","6,367",373,,"10,003","3,589","11,167","1,939","323,169","14,915","7,701","1,834","1,498","22,851","43,260",863,"17,357","40,673","7,502","5,602","3,993","3,946","2,497",828,"35,106","16,835","19,815"
Germany,"6,538","2,034","7,825","1,929","2,096","6,399","2,259","19,800","4,331","44,999","16,100",520,"15,032","4,902","8,825","19,169","1,528","9,422",692,"8,181","35,268","4,431","1,212","18,069","1,319","18,884","9,610",700,,"6,436","1,477","15,132","2,697","77,700","15,476","7,664","1,175","1,761","54,844","16,513","2,760","2,520","21,602","7,454","2,994","3,624","5,879","3,496","2,041","12,508","12,469","18,629"
Yemen,495,792,168,0,38,47,0,316,0,"16,979","1,790",0,176,19,49,180,0,14,22,527,474,52,0,653,125,317,92,48,,225,0,45,44,"7,946",90,356,63,46,99,140,38,0,"1,525",534,6,45,15,468,0,153,16,"16,576"
Bangladesh,886,195,723,45,90,"1,172",104,"15,083",259,"97,511","1,881",176,"1,566","1,145",882,"8,589",34,293,139,597,"14,565",131,81,"11,188",177,"1,219",628,61,,796,212,"1,694",647,"15,172",698,"3,401",719,276,"9,477","6,336",27,36,"2,762",995,520,834,281,458,58,"4,807","3,401","15,528"
Vietnam,"18,649","4,199","11,667",339,"5,875","9,590","2,076","16,251","3,215","24,886","23,814",489,"11,801","14,358","21,647","33,139","1,170","5,526",545,"8,790","177,574","6,807",565,"42,986",655,"55,863","3,471",66,,"6,056","1,036","20,732","4,174","514,856","17,685","7,056","1,222","1,526","51,824","37,689","1,432","9,181","21,237","6,461","7,217","10,995","4,157","20,309","1,271","19,394","37,267","12,037"
Poland,"2,007",377,"1,310",244,335,"1,582",720,"46,304",396,"70,385","3,529",229,"4,758",584,"1,066","12,491","1,231","1,635",65,"1,017","6,940",658,460,"3,494",167,"4,394","4,150",37,,337,234,"5,270",414,"21,581","3,914","24,898",609,655,"21,513","2,776",252,336,"129,891","2,469",373,398,449,345,507,"3,962","11,122","11,638"
