,state_code,country,population,top,counts,cuisine_names
0,AK,Philippines,18666,top1,3.0,Philippines
1,AK,Mexico,4157,top2,59.0,"Mexico, Taco, Tex-Mex"
2,AK,Korea,3589,top3,23.0,Korea
3,AK,Thailand,2867,top4,35.0,Thailand
4,AK,Canada,2843,top5,0.0,Canada
5,AK,Russia,1726,top6,0.0,Russia
6,AK,Germany,1477,top7,1.0,Germany
7,AK,Dominican Republic,1433,top8,0.0,Dominican Republic
8,AK,"Oceania, n.e.c.",1329,top9,0.0,"Oceania, n.e.c."
9,AK,Laos,1288,top10,0.0,Laos
10,AL,Mexico,49403,top1,434.0,"Mexico, Taco, Tex-Mex"
11,AL,Guatemala,11611,top2,453.0,Guatemala
12,AL,Korea,10003,top3,24.0,Korea
13,AL,India,9276,top4,21.0,India
14,AL,China,8775,top5,322.0,China
15,AL,Germany,6436,top6,12.0,Germany
16,AL,Vietnam,6056,top7,15.0,Vietnam
17,AL,Philippines,4752,top8,0.0,Philippines
18,AL,Honduras,3344,top9,5.0,South America
19,AL,Canada,3229,top10,0.0,Canada
20,AR,Mexico,59287,top1,203.0,"Mexico, Taco, Tex-Mex"
21,AR,El Salvador,13514,top2,0.0,El Salvador
22,AR,India,8282,top3,7.0,India
23,AR,"Oceania, n.e.c.",5098,top4,0.0,"Oceania, n.e.c."
24,AR,Guatemala,4741,top5,206.0,Guatemala
25,AR,Vietnam,4174,top6,13.0,Vietnam
26,AR,China,4087,top7,85.0,China
27,AR,Philippines,3156,top8,0.0,Philippines
28,AR,Laos,2920,top9,0.0,Laos
29,AR,Germany,2697,top10,4.0,Germany
30,AZ,Mexico,513583,top1,1309.0,"Mexico, Taco, Tex-Mex"
31,AZ,Canada,42798,top2,1.0,Canada
32,AZ,India,40183,top3,81.0,India
33,AZ,Philippines,30870,top4,8.0,Philippines
34,AZ,China,22644,top5,474.0,China
35,AZ,Vietnam,20732,top6,79.0,Vietnam
36,AZ,Germany,15132,top7,13.0,Germany
37,AZ,Guatemala,13682,top8,1355.0,Guatemala
38,AZ,Korea,11167,top9,37.0,Korea
39,AZ,Iraq,10733,top10,69.0,Iraq
40,CA,Mexico,4140352,top1,149738.0,"Mexico, Taco, Tex-Mex"
41,CA,Philippines,841143,top2,7612.0,Philippines
42,CA,China,639505,top3,89359.0,China
43,CA,Vietnam,514856,top4,27086.0,Vietnam
44,CA,India,486876,top5,18250.0,India
45,CA,El Salvador,437016,top6,2545.0,El Salvador
46,CA,Korea,323169,top7,23175.0,Korea
47,CA,Guatemala,276542,top8,163570.0,Guatemala
48,CA,Iran,205396,top9,716.0,Iran
49,CA,Taiwan,179867,top10,1731.0,Taiwan
50,CO,Mexico,228598,top1,1141.0,"Mexico, Taco, Tex-Mex"
51,CO,India,21981,top2,81.0,India
52,CO,China,18822,top3,432.0,China
53,CO,Vietnam,17685,top4,160.0,Vietnam
54,CO,Germany,15476,top5,26.0,Germany
55,CO,Korea,14915,top6,40.0,Korea
56,CO,Canada,14105,top7,0.0,Canada
57,CO,Philippines,11007,top8,7.0,Philippines
58,CO,El Salvador,9765,top9,1.0,El Salvador
59,CO,Ethiopia,9513,top10,20.0,Ethiopia
60,CT,India,41480,top1,60.0,India
61,CT,Jamaica,36197,top2,19.0,Jamaica
62,CT,Mexico,26909,top3,184.0,"Mexico, Taco, Tex-Mex"
63,CT,Poland,24898,top4,3.0,Poland
64,CT,Dominican Republic,21821,top5,2.0,Dominican Republic
65,CT,China,20996,top6,470.0,China
66,CT,Ecuador,19692,top7,0.0,Ecuador
67,CT,Italy,17375,top8,1509.0,"Italy, Pizza"
68,CT,Brazil,16884,top9,11.0,Brazil
69,CT,Guatemala,15455,top10,280.0,Guatemala
70,DC,El Salvador,12238,top1,0.0,El Salvador
71,DC,Ethiopia,5815,top2,34.0,Ethiopia
72,DC,Mexico,4166,top3,129.0,"Mexico, Taco, Tex-Mex"
73,DC,China,3646,top4,147.0,China
74,DC,Guatemala,3303,top5,201.0,Guatemala
75,DC,India,2984,top6,61.0,India
76,DC,France,2362,top7,85.0,"France, Fondue, Crepes"
