state,state_code,population1,population2,population3,population4,population5,population6,population7,population8,population9,population10
ALABAMA,AL,Mexico,Guatemala,Korea,India,China,Germany,Vietnam,Philippines,Honduras,Canada
ALASKA,AK,Philippines,Mexico,Korea,Thailand,Canada,Russia,Germany,Dominican Republic,"Oceania, nec",Laos
ARIZONA,AZ,Mexico,Canada,India,Philippines,China,Vietnam,Germany,Guatemala,Korea,Iraq
ARKANSAS,AR,Mexico,El Salvador,India,"Oceania, nec",Guatemala,Vietnam,China,Philippines,Laos,Germany
CALIFORNIA,CA,Mexico,Philippines,China,Vietnam,India,El Salvador,Korea,Guatemala,Iran,Taiwan
COLORADO,CO,Mexico,India,China,Vietnam,Germany,Korea,Canada,Philippines,El Salvador,Ethiopia
CONNECTICUT,CT,India,Jamaica,Mexico,Poland,Dominican Republic,China,Ecuador,Italy,Brazil,Guatemala
DELAWARE,DE,Mexico,India,China,Guatemala,Philippines,Haiti,Jamaica,Kenya,Dominican Republic,Korea
DISTRICT OF COLUMBIA,DC,El Salvador,Ethiopia,Mexico,China,Guatemala,India,France,Jamaica,Philippines,Canada
FLORIDA,FL,Cuba,Haiti,Mexico,Colombia,Jamaica,Venezuela,Dominican Republic,Canada,Nicaragua,Honduras
GEORGIA,GA,Mexico,India,Korea,Jamaica,Vietnam,China,Guatemala,El Salvador,Nigeria,Colombia
IDAHO,ID,Mexico,Canada,China,Philippines,Germany,India,Peru,Ukraine,Vietnam,England
ILLINOIS,IL,Mexico,India,Poland,Philippines,China,Korea,Pakistan,Guatemala,Ukraine,Germany
INDIANA,IN,Mexico,India,China,Burma,Philippines,El Salvador,Korea,Germany,Canada,Guatemala
IOWA,IA,Mexico,China,India,Vietnam,Bosnia and Herzegovina,Korea,Guatemala,Burma,Philippines,El Salvador
KANSAS,KS,Mexico,India,Vietnam,China,Guatemala,Philippines,El Salvador,Korea,Germany,Kenya
KENTUCKY,KY,Mexico,India,Cuba,China,Guatemala,Philippines,Germany,Vietnam,Korea,Bosnia and Herzegovina
LOUISIANA,LA,Mexico,Honduras,Vietnam,Guatemala,India,Philippines,China,El Salvador,Cuba,Nicaragua
MAINE,ME,Canada,China,Other Eastern Africa,Germany,Germany,Philippines,Other Middle Africa,India,England,Somalia
MARYLAND,MD,El Salvador,India,China,Mexico,Philippines,Nigeria,Korea,Guatemala,Jamaica,Ethiopia
MASSACHUSETTS,MA,China,Dominican Republic,India,Brazil,Haiti,Portugal,El Salvador,Vietnam,Canada,Guatemala
MICHIGAN,MI,Mexico,India,Iraq,China,Canada,Lebanon,Philippines,Korea,Germany,Yemen
MINNESOTA,MN,Mexico,Somalia,India,Laos,Ethiopia,Vietnam,China,Thailand,Korea,Kenya
MISSISSIPPI,MS,Mexico,India,Vietnam,Philippines,Guatemala,China,Honduras,Germany,Canada,Korea
MISSOURI,MO,Mexico,India,China,Vietnam,Philippines,Bosnia and Herzegovina,Germany,Korea,Guatemala,Canada
MONTANA,MT,Canada,Mexico,Germany,Philippines,China,Korea,England,United Kingdom,Japan,Russia
NEBRASKA,NE,Mexico,Guatemala,India,Vietnam,El Salvador,China,Burma,Cuba,Philippines,Korea
NEVADA,NV,Mexico,Philippines,El Salvador,Cuba,China,Guatemala,Korea,Canada,Vietnam,India
