,zcity_id,city_query,state_code
8,276,Dallas TX,TX
3,277,Houston TX,TX
10,278,Austin TX,TX
17,279,Seattle WA,WA
0,280,New York NY,NY
1,281,Los Angeles CA,CA
25,282,Las Vegas NV,NV
19,283,Washington DC,DC
22,285,Detroit MI,MI
24,286,Portland OR,OR
5,287,Philadelphia PA,PA
35,288,Atlanta GA,GA
20,289,Boston MA,MA
48,290,New Orleans LA,LA
40,291,Miami FL,FL
2,292,Chicago IL,IL
4,301,Phoenix AZ,AZ
7,302,San Diego CA,CA
14,303,Charlotte NC,NC
6,304,San Antonio TX,TX
18,305,Denver CO,CO
15,306,San Francisco CA,CA
66,415,Anchorage AK,AK
106,421,Birmingham AL,AL
520,427,Dothan AL,AL
111,430,Huntsville AL,AL
130,433,Mobile AL,AL
119,436,Montgomery AL,AL
302,439,Tuscaloosa AL,AL
123,442,Little Rock AR,AR
374,445,Fort Smith AR,AR
316,463,Yuma AZ,AZ
31,466,Tucson AZ,AZ
467,469,Flagstaff AZ,AZ
294,475,Chico CA,CA
351,478,Redding CA,CA
160,481,Lancaster CA,CA
193,484,Orange CA,CA
248,490,Temecula CA,CA
50,496,Bakersfield CA,CA
34,499,Sacramento CA,CA
197,505,Visalia CA,CA
59,508,Stockton CA,CA
281,511,Santa Maria CA,CA
32,514,Fresno CA,CA
223,523,Victorville CA,CA
357,526,Santa Barbara CA,CA
37,529,Colorado Springs CO,CO
256,535,Pueblo CO,CO
579,538,Grand Junction CO,CO
224,544,Hartford CT,CT
208,550,New Haven CT,CT
510,556,Wilmington DE,DE
11,574,Jacksonville FL,FL
407,577,Melbourne FL,FL
378,586,Fort Myers FL,FL
602,589,Ocala FL,FL
199,592,Gainesville FL,FL
128,595,Tallahassee FL,FL
519,598,Daytona Beach FL,FL
68,601,Orlando FL,FL
46,604,Tampa FL,FL
717,607,Pensacola FL,FL
492,610,Albany GA,GA
663,613,Valdosta GA,GA
178,619,Savannah GA,GA
125,622,Columbus GA,GA
120,628,Augusta-Richmond County GA,GA
212,634,Athens-Clarke County GA,GA
102,643,Des Moines IA,IA
300,646,Davenport IA,IA
410,649,Sioux City IA,IA
202,652,Cedar Rapids IA,IA
538,655,Waterloo IA,IA
649,658,Dubuque IA,IA
95,664,Boise City ID,ID
662,667,Pocatello ID,ID
754,673,Twin Falls ID,ID
725,676,Coeur d'Alene ID,ID
582,679,Idaho Falls ID,ID
366,685,Champaign IL,IL
176,688,Rockford IL,IL
501,691,Decatur IL,IL
267,694,Peoria IL,IL
447,697,Bloomington IL,IL
250,700,Springfield IL,IL
74,703,Fort Wayne IN,IN
603,709,Terre Haute IN,IN
528,712,Muncie IN,IN
235,715,Evansville IN,IN
16,718,Indianapolis IN,IN
385,721,Bloomington IN,IN
297,724,South Bend IN,IN
496,727,Lafayette IN,IN
49,730,Wichita KS,KS
216,733,Topeka KS,KS
57,742,Lexington-Fayette KY,KY
27,745,Louisville KY,KY
505,751,Bowling Green KY,KY
97,757,Baton Rouge LA,LA
439,763,Lake Charles LA,LA
132,766,Shreveport LA,LA
214,772,Lafayette LA,LA
330,781,New Bedford MA,MA
28,787,Baltimore MD,MD
551,793,Portland ME,ME
455,802,Kalamazoo MI,MI
234,814,Lansing MI,MI
110,817,Grand Rapids MI,MI
328,820,Flint MI,MI
761,823,Saginaw MI,MI
231,829,Rochester MN,MN
386,832,Duluth MN,MN
469,838,St Joseph MO,MO
62,844,St Louis MO,MO
154,850,Springfield MO,MO
745,853,Joplin MO,MO
36,856,Kansas City MO,MO
222,859,Columbia MO,MO
155,862,Jackson MS,MS
497,865,Gulfport MS,MS
639,877,Great Falls MT,MT
270,880,Billings MT,MT
460,886,Missoula MT,MT
349,901,Asheville NC,NC
105,907,Fayetteville NC,NC
488,913,Jacksonville NC,NC
219,916,Wilmington NC,NC
346,922,Greenville NC,NC
666,925,Grand Forks ND,ND
218,931,Fargo ND,ND
478,937,Bismarck ND,ND
65,943,Lincoln NE,NE
38,946,Omaha NE,NE
255,949,Manchester NH,NH
293,961,Las Cruces NM,NM
30,964,Albuquerque NM,NM
394,970,Santa Fe NM,NM
82,976,Reno NV,NV
182,988,Syracuse NY,NY
321,997,Albany NY,NY
108,1003,Rochester NY,NY
613,1009,Utica NY,NY
83,1012,Buffalo NY,NY
190,1015,Dayton OH,OH
559,1018,Youngs OH,OH
13,1021,Columbus OH,OH
507,1027,Canton OH,OH
61,1030,Cincinnati OH,OH
51,1033,Cleveland OH,OH
73,1042,Toledo OH,OH
45,1045,Tulsa OK,OK
23,1051,Oklahoma City OK,OK
347,1054,Lawton OK,OK
406,1057,Medford OR,OR
147,1060,Salem OR,OR
149,1063,Eugene OR,OR
307,1066,Bend OR,OR
452,1075,Scranton PA,PA
63,1081,Pittsburgh PA,PA
226,1084,Allen PA,PA
329,1090,Erie PA,PA
627,1093,Lancaster PA,PA
140,1096,Providence RI,RI
195,1105,Charleston SC,SC
504,1111,Greenville SC,SC
206,1114,Columbia SC,SC
466,1117,Rock Hill SC,SC
136,1126,Sioux Falls SD,SD
446,1129,Rapid City SD,SD
545,1135,Johnson City TN,TN
137,1141,Chattanooga TN,TN
26,1144,Memphis TN,TN
158,1150,Clarksville TN,TN
131,1153,Knoxville TN,TN
138,1156,Brownsville TX,TX
221,1159,Odessa TX,TX
192,1162,Waco TX,TX
305,1165,San Angelo TX,TX
21,1168,El Paso TX,TX
239,1171,Beaumont TX,TX
56,1174,Corpus Christi TX,TX
76,1177,Laredo TX,TX
220,1180,Abilene TX,TX
288,1183,Wichita Falls TX,TX
115,1186,Amarillo TX,TX
80,1189,Lubbock TX,TX
282,1192,Tyler TX,TX
236,1195,College Station TX,TX
414,1198,Longview TX,TX
168,1201,Killeen TX,TX
181,1204,McAllen TX,TX
544,1210,Victoria TX,TX
112,1213,Salt Lake City UT,UT
94,1219,Richmond VA,VA
411,1222,Lynchburg VA,VA
314,1225,Roanoke VA,VA
198,1228,Hampton VA,VA
96,1240,Spokane WA,WA
344,1246,Yakima WA,WA
718,1249,Olympia WA,WA
352,1252,Bellingham WA,WA
739,1255,La Crosse WI,WI
543,1258,Oshkosh WI,WI
522,1261,Eau Claire WI,WI
79,1264,Madison WI,WI
29,1267,Milwaukee WI,WI
