"Label","Minnesota!!Estimate","Mississippi!!Estimate","Missouri!!Estimate","Montana!!Estimate","Nebraska!!Estimate","Nevada!!Estimate","New Hampshire!!Estimate","New Jersey!!Estimate","New Mexico!!Estimate","New York!!Estimate","North Carolina!!Estimate","North Dakota!!Estimate","Ohio!!Estimate","Oklahoma!!Estimate","Oregon!!Estimate","Pennsylvania!!Estimate","Rhode Island!!Estimate","South Carolina!!Estimate","South Dakota!!Estimate","Tennessee!!Estimate","Texas!!Estimate","Utah!!Estimate","Vermont!!Estimate","Virginia!!Estimate","West Virginia!!Estimate","Washington!!Estimate","Wisconsin!!Estimate","Wyoming!!Estimate","Puerto Rico!!Estimate","Alabama!!Estimate","Alaska!!Estimate","Arizona!!Estimate","Arkansas!!Estimate","California!!Estimate","Colorado!!Estimate","Connecticut!!Estimate","Delaware!!Estimate","District of Columbia!!Estimate","Florida!!Estimate","Georgia!!Estimate","Idaho!!Estimate","Hawaii!!Estimate","Illinois!!Estimate","Indiana!!Estimate","Iowa!!Estimate","Kansas!!Estimate","Kentucky!!Estimate","Louisiana!!Estimate","Maine!!Estimate","Maryland!!Estimate","Massachusetts!!Estimate","Michigan!!Estimate"
"Total:","461,758","69,752","247,788","22,685","133,424","566,391","81,287","1,968,048","201,234","4,439,868","799,570","29,629","520,956","234,536","405,811","865,715","144,197","240,439","30,112","333,883","4,736,692","256,526","28,992","1,038,160","29,640","1,020,967","287,374","20,276","","168,111","57,399","933,128","142,480","10,537,437","542,977","513,631","87,378","96,158","4,227,052","1,035,983","100,996","259,586","1,797,717","341,915","161,872","206,680","167,110","193,205","47,946","903,533","1,129,732","671,091"
"    Europe:","47,161","7,238","44,594","6,621","9,467","41,838","19,090","294,789","13,924","718,878","84,025","3,791","106,887","16,254","60,196","169,533","30,795","40,987","3,831","35,863","196,224","24,934","8,684","102,626","5,665","153,006","47,560","3,489","","18,982","8,233","83,651","9,784","678,305","72,858","124,303","9,363","18,094","401,985","89,916","13,335","10,848","366,829","40,812","19,153","14,456","23,154","16,378","11,343","85,017","234,648","128,773"
"        Northern Europe:","8,620","2,116","6,407","1,970","1,992","9,760","5,448","36,191","3,504","99,810","23,940","686","16,097","4,602","15,396","29,124","4,347","10,716","556","9,535","60,458","7,378","2,316","25,483","1,653","31,189","7,927","1,255","","4,736","1,412","21,592","2,564","176,885","17,663","20,642","2,763","4,373","101,209","23,920","2,435","2,957","29,332","8,255","2,682","3,530","4,655","4,100","3,651","16,691","43,889","17,982"
"            United Kingdom (inc. Crown Dependencies):","5,623","1,740","5,308","1,324","1,560","8,075","4,334","24,995","3,006","60,834","18,926","364","12,714","3,784","11,693","21,222","2,863","9,006","449","7,880","49,516","5,780","1,823","19,913","1,448","22,072","5,737","1,096","","4,164","933","17,031","2,156","131,341","13,903","14,605","2,135","2,829","79,818","19,056","1,905","1,982","18,664","6,470","2,043","3,095","3,423","3,286","2,679","13,149","23,990","14,788"
"                United Kingdom, excluding England and Scotland","2,533","576","2,583","602","624","3,001","1,968","11,819","1,461","32,280","9,081","161","5,413","1,302","4,987","10,691","1,488","3,803","196","3,280","25,147","2,274","798","9,711","608","10,798","2,471","396","","1,660","348","6,752","1,027","61,299","6,432","6,875","729","2,001","35,883","8,982","483","1,019","8,983","2,314","850","1,516","1,208","1,517","1,081","6,616","13,431","6,442"
"                England","2,682","942","2,275","658","765","4,433","1,782","10,305","1,357","24,137","8,414","173","5,853","2,211","5,566","8,805","1,146","4,396","223","3,918","20,150","2,922","843","8,482","745","9,509","2,879","584","","2,031","490","8,685","901","60,351","6,529","6,483","1,095","798","37,522","8,838","1,219","880","7,973","3,378","938","1,371","1,816","1,536","1,318","5,493","9,001","6,505"
"                Scotland","408","222","450","64","171","641","584","2,871","188","4,417","1,431","30","1,448","271","1,140","1,726","229","807","30","682","4,219","584","182","1,720","95","1,765","387","116","","473","95","1,594","228","9,691","942","1,247","311","30","6,413","1,236","203","83","1,708","778","255","208","399","233","280","1,040","1,558","1,841"
"            Ireland","851","185","481","145","243","763","578","7,389","193","28,466","1,711","30","1,573","214","1,148","5,027","996","970","15","631","3,310","266","225","2,063","82","2,309","504","91","","316","88","1,600","189","17,298","1,182","3,314","391","743","8,328","1,876","128","306","7,311","960","103","113","595","383","286","1,650","15,236","1,095"
"            Denmark","394","91","180","153","65","238","100","1,123","84","2,002","917","66","611","137","611","709","75","170","25","205","1,376","367","45","873","34","1,520","303","19","","59","61","843","83","6,967","614","543","50","195","2,366","974","80","140","872","213","120","94","116","31","197","535","1,008","587"
"            Norway","593","10","89","125","54","189","140","861","82","2,053","308","153","292","183","671","674","78","149","40","108","1,861","317","45","535","8","1,964","375","30","","58","190","720","72","4,174","574","486","55","73","2,377","267","189","145","693","200","213","79","110","102","84","365","422","271"
