STATE,Total,Mexico,India,Iraq,China,Canada,Lebanon,Philippines,Korea,Germany,Yemen,Bangladesh,Vietnam,Poland,Japan,Albania,Pakistan,Romania,Italy,Guatemala,Russia,Other Eastern Europe,England,"United Kingdom, excluding England and Scotland",Syria,Bosnia and Herzegovina,Ukraine,Taiwan,Nigeria,Cuba,Brazil,Jordan,Jamaica,Saudi Arabia,Netherlands,Other Eastern Africa,Iran,Macedonia,Laos,Greece,Thailand,Egypt,Dominican Republic,Burma,France,El Salvador,Colombia,Other Western Asia,"Asia,n.e.c.",Other Western Africa,Ethiopia,Honduras,Israel,Nepal,Scotland,"Africa, n.e.c.",Kenya,Peru,South Africa,Turkey,Argentina,Spain,Hong Kong,Venezuela,Australia,Sri Lanka,Kuwait,Other Middle Africa,Haiti,Liberia,Bulgaria,Ghana,Other Northern Africa,Malaysia,Other South Central Asia,Other Southern Europe,Serbia,Czechoslovakia (includes Czech Republic and Slovakia),Hungary,Trinidad and Tobago,Indonesia,Ireland,Cambodia,Somalia,Austria,Sierra Leone,Croatia,Lithuania,Latvia,Belgium,Costa Rica,Sweden,Panama,Cameroon,Belarus,Bahamas,Sudan,Denmark,Morocco,Chile,Ecuador,Singapore,Other Northern Europe,Guyana,Switzerland,Eritrea,Kazakhstan,Other Australian and New Zealand Subregion,Afghanistan,Bolivia,"Oceania, n.e.c.",Moldova,Uzbekistan,Other South America,Other Caribbean,Armenia,Nicaragua,Norway,Portugal,Uruguay,Belize,Grenada,Other Southern Africa,Fiji,Other Eastern Asia,West Indies,Barbados,Other Northern America,St. Vincent and the Grenadines,Dominica,Other Western Europe,Other Central America,Cabo Verde,Other South Eastern Asia,Azores Islands
Alabama,168111,49403,9276,202,8775,3229,452,4752,10003,6436,225,796,6056,337,1813,6,1582,533,445,11611,1234,292,2031,1660,73,26,811,940,1562,1267,1176,378,1958,749,405,971,1031,0,732,396,1324,465,301,47,1098,2374,1475,184,359,632,450,3344,302,562,473,710,1223,1029,631,536,289,479,146,1182,494,246,374,358,1409,263,109,316,91,226,54,11,64,227,231,545,153,316,571,0,274,47,33,56,58,107,307,98,1412,207,104,298,279,59,227,471,494,130,41,335,45,55,139,187,79,90,112,252,123,234,382,16,705,58,155,124,52,135,15,56,0,138,109,209,150,70,0,50,15,0,0
Alaska,57399,4157,650,0,1138,2843,55,18666,3589,1477,0,212,1036,234,673,11,158,154,148,193,1726,121,490,348,34,80,739,241,461,232,148,46,134,0,205,250,142,252,1288,181,2867,42,1433,22,282,622,673,100,50,213,153,196,16,92,95,287,54,554,56,184,159,33,66,127,191,24,0,6,203,42,157,99,16,85,92,14,130,100,25,55,16,88,158,317,96,60,27,17,76,21,97,77,52,91,156,0,267,61,0,99,126,20,63,45,138,10,76,87,9,44,1329,164,44,228,116,0,162,190,13,44,65,0,0,204,61,53,13,12,3,114,0,0,0,19,0
Arizona,933128,513583,40183,10733,22644,42798,1664,30870,11167,15132,45,1694,20732,5270,5524,703,2075,5874,4070,13682,4420,2052,8685,6752,2086,3649,1780,3962,2542,6990,2387,1561,1931,2189,2343,3559,6942,213,1284,1252,4467,1748,1696,2143,3343,8621,4882,1194,751,867,1968,3772,1877,1243,1594,2403,2616,3723,2509,1163,2272,1860,2142,1894,1830,868,1743,2388,1120,1291,1392,1182,509,1351,1063,119,1106,1110,1310,1338,1505,1600,1612,1852,1022,276,527,250,248,662,1325,967,1107,302,314,185,1365,843,936,1594,1644,1330,431,835,847,1407,335,804,1683,595,2380,211,625,242,456,151,1488,720,642,367,356,85,98,292,36,62,139,185,61,67,31,73,142,19,90
Arkansas,142480,59287,8282,241,4087,2258,89,3156,1939,2697,44,647,4174,414,1102,16,1082,518,361,4741,508,132,901,1027,172,63,398,625,470,601,646,464,271,420,231,385,490,22,2920,96,1033,260,273,260,688,13514,947,33,204,307,208,2589,69,349,228,449,139,619,548,226,289,232,181,314,296,63,119,83,105,70,52,268,203,149,45,0,59,143,96,236,96,189,351,0,95,61,24,28,4,103,267,22,444,143,63,158,0,83,40,317,426,151,42,89,22,0,11,101,11,707,5098,110,25,121,29,0,642,72,21,11,90,0,46,13,42,44,0,46,22,16,12,37,0,0,9
California,10537437,4140352,486876,45070,639505,132843,30979,841143,323169,77700,7946,15172,514856,21581,107699,1438,49930,24269,31789,276542,66511,16856,60351,61299,26671,4871,56110,179867,25554,34106,41285,14203,14146,11890,17654,13666,205396,743,53027,11689,68656,35533,6180,24816,39126,437016,44344,14713,11111,3617,24270,60441,33162,14010,9691,7728,10295,74440,18791,17367,33205,15757,102099,10327,21536,11605,6074,4187,4880,2355,9067,7129,6284,16713,3234,1066,4362,9891,11219,5965,40064,17298,54311,2901,7907,2254,4945,3707,3134,6345,12423,12276,9626,2993,8566,568,3339,6967,6448,15994,21751,10756,4829,4577,9091,6522,4730,7930,35789,9322,17966,8891,5989,3659,2420,72990,63947,4174,24851,3251,16690,442,339,35094,4441,752,1031,615,395,372,360,1727,475,263,8088
Colorado,542977,228598,21981,2416,18822,14105,1030,11007,14915,15476,90,698,17685,3914,3979,220,1552,2028,1705,6383,6972,2112,6529,6432,411,1504,3667,3067,2232,2460,2506,577,1899,1387,1633,1799,3236,84,2578,834,4436,766,1021,2266,1869,9765,4310,991,324,1883,9513,4775,1289,4380,942,1859,1621,5884,2413,1085,2216,1611,1048,2416,2349,222,473,2350,1051,777,1311,3057,1190,1193,2276,27,323,2271,997,472,1655,1182,1711,1622,1160,116,397,665,581,513,695,1015,1032,590,1194,206,1342,614,1137,1465,1020,493,375,332,1034,1273,480,1362,1529,562,944,573,1189,422,189,319,1179,574,306,93,296,25,106,74,1033,140,198,23,41,43,26,99,0,0,11
Connecticut,513631,26909,41480,855,20996,13742,1149,8798,7701,7664,356,3401,7056,24898,3314,4342,6061,2493,17375,15455,5390,2611,6483,6875,1343,2864,4841,2193,2872,3213,16884,544,36197,1380,1363,1317,1528,1004,2128,4124,1488,1639,21821,525,3213,6674,15177,990,328,1718,884,6999,1228,1296,1247,1710,703,13575,1723,1895,3031,2079,1807,2760,1232,1115,224,1220,14317,642,804,4652,932,626,121,30,716,1328,1623,2368,494,3314,1671,111,877,181,777,689,461,557,1468,1267,646,151,668,165,512,543,1553,2093,19692,537,427,4435,784,106,216,261,1051,295,115,244,300,621,2409,95,1393,486,9572,1171,371,113,184,33,23,906,962,217,219,1334,61,61,869,2,99
Delaware,87378,15683,11434,164,5816,1146,64,3307,1834,1175,63,719,1222,609,338,0,783,174,1061,4652,516,143,1095,729,75,24,338,600,1418,602,542,75,2198,298,258,254,585,0,176,402,356,546,1996,21,403,1273,1213,165,167,170,93,417,194,200,311,671,2027,422,348,836,326,191,158,328,42,123,31,13,3048,915,234,1525,41,107,75,5,101,173,95,917,204,391,263,0,125,156,77,74,79,77,98,62,388,615,38,130,0,50,121,193,424,17,70,1100,88,68,38,45,92,8,34,41,0,114,282,0,118,55,99,48,28,51,25,0,0,0,156,170,25,187,0,0,0,5,0
District of Columbia,96158,4166,2984,141,3646,2172,211,2258,1498,1761,46,276,1526,655,1117,280,532,462,939,3303,1182,328,798,2001,110,105,529,435,1808,707,1541,0,2360,214,448,635,1385,28,0,248,195,406,1901,137,2362,12238,2089,437,36,1097,5815,1670,231,279,30,784,391,1728,369,317,1036,1752,225,752,741,256,91,326,448,172,284,585,192,145,71,7,392,312,187,1131,198,743,136,17,218,260,81,182,63,304,241,373,349,850,94,118,251,195,277,649,354,317,160,807,215,555,146,132,25,384,58,65,94,305,274,216,557,73,189,212,190,149,41,20,46,76,111,0,19,70,0,137,61,0,0
Florida,4227052,268587,85926,5008,53364,111793,7836,81003,22851,54844,99,9477,51824,21513,10972,7773,14000,11773,30174,80751,24611,7889,37522,35883,4874,8654,15406,7375,8089,970958,88398,3621,215622,4174,8158,6977,9711,980,4001,10975,12590,11204,125356,3942,18532,45730,262304,4298,3200,2622,3184,101324,13344,1301,6413,2543,2653,91623,11205,9584,55745,19681,5277,160217,4792,2036,1702,2036,325644,1334,4809,2818,3067,2246,1029,369,4123,8278,8926,43921,2790,8328,3471,376,3524,324,2795,2201,1137,3482,16696,4668,21188,814,3126,18886,1120,2366,9361,21715,52003,756,3652,34532,3444,756,2173,1745,1254,10651,1641,2143,1637,5814,17347,808,105077,2377,10329,12349,4806,2989,280,266,359,3715,6469,1135,2599,7978,313,601,1150,274,915
