,zcity_id,city_query
8,276,Dallas TX
3,277,Houston TX
10,278,Austin TX
17,279,Seattle WA
0,280,New York NY
1,281,Los Angeles CA
25,282,Las Vegas NV
19,283,Washington DC
22,285,Detroit MI
24,286,Portland OR
5,287,Philadelphia PA
35,288,Atlanta GA
20,289,Boston MA
48,290,New Orleans LA
40,291,Miami FL
2,292,Chicago IL
4,301,Phoenix AZ
7,302,San Diego CA
14,303,Charlotte NC
6,304,San Antonio TX
18,305,Denver CO
15,306,San Francisco CA
66,415,Anchorage AK
106,421,Birmingham AL
520,427,Dothan AL
111,430,Huntsville AL
130,433,Mobile AL
119,436,Montgomery AL
302,439,Tuscaloosa AL
123,442,Little Rock AR
374,445,Fort Smith AR
316,463,Yuma AZ
31,466,Tucson AZ
467,469,Flagstaff AZ
294,475,Chico CA
351,478,Redding CA
160,481,Lancaster CA
193,484,Orange CA
248,490,Temecula CA
50,496,Bakersfield CA
34,499,Sacramento CA
197,505,Visalia CA
59,508,Stockton CA
281,511,Santa Maria CA
32,514,Fresno CA
223,523,Victorville CA
357,526,Santa Barbara CA
37,529,Colorado Springs CO
256,535,Pueblo CO
579,538,Grand Junction CO
224,544,Hartford CT
208,550,New Haven CT
510,556,Wilmington DE
11,574,Jacksonville FL
407,577,Melbourne FL
378,586,Fort Myers FL
602,589,Ocala FL
199,592,Gainesville FL
128,595,Tallahassee FL
519,598,Daytona Beach FL
68,601,Orlando FL
46,604,Tampa FL
717,607,Pensacola FL
492,610,Albany GA
663,613,Valdosta GA
178,619,Savannah GA
125,622,Columbus GA
120,628,Augusta-Richmond County GA
212,634,Athens-Clarke County GA
102,643,Des Moines IA
300,646,Davenport IA
410,649,Sioux City IA
202,652,Cedar Rapids IA
538,655,Waterloo IA
649,658,Dubuque IA
95,664,Boise City ID
662,667,Pocatello ID
754,673,Twin Falls ID
725,676,Coeur d'Alene ID
582,679,Idaho Falls ID
366,685,Champaign IL
176,688,Rockford IL
501,691,Decatur IL
267,694,Peoria IL
447,697,Bloomington IL
250,700,Springfield IL
74,703,Fort Wayne IN
603,709,Terre Haute IN
528,712,Muncie IN
235,715,Evansville IN
16,718,Indianapolis IN
385,721,Bloomington IN
297,724,South Bend IN
496,727,Lafayette IN
49,730,Wichita KS
216,733,Topeka KS
57,742,Lexington-Fayette KY
27,745,Louisville KY
505,751,Bowling Green KY
97,757,Baton Rouge LA
439,763,Lake Charles LA
132,766,Shreveport LA
214,772,Lafayette LA
330,781,New Bedford MA
28,787,Baltimore MD
551,793,Portland ME
455,802,Kalamazoo MI
234,814,Lansing MI
110,817,Grand Rapids MI
328,820,Flint MI
761,823,Saginaw MI
231,829,Rochester MN
386,832,Duluth MN
469,838,St Joseph MO
62,844,St Louis MO
154,850,Springfield MO
745,853,Joplin MO
36,856,Kansas City MO
222,859,Columbia MO
155,862,Jackson MS
497,865,Gulfport MS
639,877,Great Falls MT
270,880,Billings MT
460,886,Missoula MT
349,901,Asheville NC
105,907,Fayetteville NC
488,913,Jacksonville NC
219,916,Wilmington NC
346,922,Greenville NC
666,925,Grand Forks ND
218,931,Fargo ND
478,937,Bismarck ND
65,943,Lincoln NE
38,946,Omaha NE
255,949,Manchester NH
293,961,Las Cruces NM
30,964,Albuquerque NM
394,970,Santa Fe NM
82,976,Reno NV
182,988,Syracuse NY
321,997,Albany NY
108,1003,Rochester NY
613,1009,Utica NY
83,1012,Buffalo NY
190,1015,Dayton OH
559,1018,Youngs OH
13,1021,Columbus OH
507,1027,Canton OH
61,1030,Cincinnati OH
51,1033,Cleveland OH
73,1042,Toledo OH
45,1045,Tulsa OK
23,1051,Oklahoma City OK
347,1054,Lawton OK
406,1057,Medford OR
147,1060,Salem OR
149,1063,Eugene OR
307,1066,Bend OR
452,1075,Scranton PA
63,1081,Pittsburgh PA
226,1084,Allen PA
329,1090,Erie PA
627,1093,Lancaster PA
140,1096,Providence RI
195,1105,Charleston SC
504,1111,Greenville SC
206,1114,Columbia SC
466,1117,Rock Hill SC
136,1126,Sioux Falls SD
446,1129,Rapid City SD
545,1135,Johnson City TN
137,1141,Chattanooga TN
26,1144,Memphis TN
158,1150,Clarksville TN
131,1153,Knoxville TN
138,1156,Brownsville TX
221,1159,Odessa TX
192,1162,Waco TX
305,1165,San Angelo TX
21,1168,El Paso TX
239,1171,Beaumont TX
56,1174,Corpus Christi TX
76,1177,Laredo TX
220,1180,Abilene TX
288,1183,Wichita Falls TX
115,1186,Amarillo TX
80,1189,Lubbock TX
282,1192,Tyler TX
236,1195,College Station TX
414,1198,Longview TX
168,1201,Killeen TX
181,1204,McAllen TX
544,1210,Victoria TX
112,1213,Salt Lake City UT
94,1219,Richmond VA
411,1222,Lynchburg VA
314,1225,Roanoke VA
198,1228,Hampton VA
96,1240,Spokane WA
344,1246,Yakima WA
718,1249,Olympia WA
352,1252,Bellingham WA
739,1255,La Crosse WI
543,1258,Oshkosh WI
522,1261,Eau Claire WI
79,1264,Madison WI
29,1267,Milwaukee WI
289,1273,Green Bay WI
763,1276,Charleston WV
574,1291,Cheyenne WY
648,1294,Casper WY
722,3750,Hoboken NJ
390,3765,Clifton NJ
751,3768,Plainfield NJ
735,3800,Perth Amboy NJ
177,3816,Paterson NJ
514,3832,Passaic NJ
573,3895,East Orange NJ
721,3897,West New York NJ
564,3908,Bayonne NJ
529,3947,Union City NJ
404,3948,Trenton NJ
77,3959,Jersey City NJ
70,3976,Newark NJ
211,3990,Elizabeth NJ
670,3992,New Brunswick NJ
550,4120,Auburn AL
440,4293,Jonesboro AR
636,4363,Casa Grande AZ
665,4399,Lake Havasu City AZ
109,4567,Port St Lucie FL
502,4606,North Port FL
646,5453,Kokomo IN
459,5546,Hammond IN
468,5554,Gary IN
317,5649,Lawrence KS
690,5672,Manhattan KS
609,5804,Owensboro KY
749,5963,Methuen Town MA
426,5965,Lawrence MA
577,5966,Haverhill MA
133,5974,Worcester MA
263,6007,Lowell MA
680,6027,Chicopee MA
164,6036,Springfield MA
491,6086,Frederick MD
204,6294,Sterling Heights MI
525,6550,St Cloud MN
698,7164,Rocky Mount NC
737,7412,Grand Island NE
403,7905,Merced CA
476,7955,Turlock CA
758,8181,Enid OK
753,8279,Stillwater OK
677,8340,Albany OR
633,8348,Corvallis OR
457,8445,Bethlehem PA
620,8885,Vineland NJ
449,9165,Bay TX
184,9244,Denton TX
429,9334,George TX
750,9440,Galveston TX
363,9655,St George UT
733,9661,Logan UT
