,cuisine,count,percentage,state_code
0,African,1,0.01639344262295082,AK
31,Indian,1,0.01639344262295082,AK
33,Italian,1,0.01639344262295082,AK
34,Jamaican,1,0.01639344262295082,AK
35,Japanese,1,0.01639344262295082,AK
36,Korean,1,0.01639344262295082,AK
37,Mediterranean,1,0.01639344262295082,AK
38,Mexican,1,0.01639344262295082,AK
39,Middle Eastern,1,0.01639344262295082,AK
40,Moroccan,1,0.01639344262295082,AK
39,Ice Cream,6,0.019169329073482427,AL
67,Steak,6,0.019169329073482427,AL
40,Indian,6,0.019169329073482427,AL
1,American,6,0.019169329073482427,AL
36,Greek,6,0.019169329073482427,AL
50,Mediterranean,6,0.019169329073482427,AL
51,Mexican,6,0.019169329073482427,AL
55,Pizza,6,0.019169329073482427,AL
29,Fast Food,6,0.019169329073482427,AL
61,Sandwich,6,0.019169329073482427,AL
0,American,3,0.020833333333333332,AR
48,Seafood,3,0.020833333333333332,AR
20,Donuts,3,0.020833333333333332,AR
22,Fast Food,3,0.020833333333333332,AR
54,Sushi,3,0.020833333333333332,AR
53,Steak,3,0.020833333333333332,AR
26,Greek,3,0.020833333333333332,AR
50,Southern,3,0.020833333333333332,AR
47,Sandwich,3,0.020833333333333332,AR
17,Desserts,3,0.020833333333333332,AR
82,Seafood,12,0.0182370820668693,AZ
14,Burger,12,0.0182370820668693,AZ
33,Donuts,12,0.0182370820668693,AZ
31,Diner,12,0.0182370820668693,AZ
29,Desserts,12,0.0182370820668693,AZ
52,International,12,0.0182370820668693,AZ
55,Italian,12,0.0182370820668693,AZ
57,Japanese,12,0.0182370820668693,AZ
23,Coffee and Tea,12,0.0182370820668693,AZ
22,Chinese,12,0.0182370820668693,AZ
2,American,90,0.019463667820069204,CA
29,Chinese,90,0.019463667820069204,CA
18,Burger,90,0.019463667820069204,CA
78,Mexican,90,0.019463667820069204,CA
46,Fast Food,90,0.019463667820069204,CA
41,Donuts,90,0.019463667820069204,CA
91,Pizza,90,0.019463667820069204,CA
102,Sandwich,89,0.019247404844290657,CA
37,Desserts,89,0.019247404844290657,CA
30,Coffee and Tea,89,0.019247404844290657,CA
58,Japanese,4,0.016194331983805668,CO
35,Donuts,4,0.016194331983805668,CO
85,Seafood,4,0.016194331983805668,CO
32,Desserts,4,0.016194331983805668,CO
94,Sushi,4,0.016194331983805668,CO
66,Mexican,4,0.016194331983805668,CO
93,Steak,4,0.016194331983805668,CO
56,Italian,4,0.016194331983805668,CO
26,Coffee and Tea,4,0.016194331983805668,CO
25,Chinese,4,0.016194331983805668,CO
0,Afghan,1,0.010869565217391304,DC
58,Mediterranean,1,0.010869565217391304,DC
67,Pub Food,1,0.010869565217391304,DC
66,Portuguese,1,0.010869565217391304,DC
65,Pizza,1,0.010869565217391304,DC
64,Peruvian,1,0.010869565217391304,DC
63,Pakistani,1,0.010869565217391304,DC
62,New American,1,0.010869565217391304,DC
61,Moroccan,1,0.010869565217391304,DC
60,Middle Eastern,1,0.010869565217391304,DC
0,Afghan,1,0.015873015873015872,DE
47,Pub Food,1,0.015873015873015872,DE
34,Irish,1,0.015873015873015872,DE
35,Italian,1,0.015873015873015872,DE
36,Jamaican,1,0.015873015873015872,DE
37,Japanese,1,0.015873015873015872,DE
38,Korean,1,0.015873015873015872,DE
39,Latin American,1,0.015873015873015872,DE
40,Mediterranean,1,0.015873015873015872,DE
41,Mexican,1,0.015873015873015872,DE
38,Donuts,14,0.012444444444444444,FL
17,Burger,14,0.012444444444444444,FL
74,Latin American,14,0.012444444444444444,FL
68,Japanese,14,0.012444444444444444,FL
66,Italian,14,0.012444444444444444,FL
89,Pizza,14,0.012444444444444444,FL
55,Greek,14,0.012444444444444444,FL
44,Fast Food,14,0.012444444444444444,FL
43,European,14,0.012444444444444444,FL
99,Sandwich,14,0.012444444444444444,FL
80,Pizza,3,0.013824884792626729,GA
56,Indian,3,0.013824884792626729,GA
24,Caribbean,3,0.013824884792626729,GA
61,Italian,3,0.013824884792626729,GA
27,Chinese,3,0.013824884792626729,GA
28,Coffee and Tea,3,0.013824884792626729,GA
100,Sushi,3,0.013824884792626729,GA
99,Steak,3,0.013824884792626729,GA
91,Seafood,3,0.013824884792626729,GA
58,International,3,0.013824884792626729,GA
49,Mexican,6,0.021739130434782608,IA
43,Italian,6,0.021739130434782608,IA
65,Steak,6,0.021739130434782608,IA
61,Seafood,6,0.021739130434782608,IA
24,Diner,6,0.021739130434782608,IA
66,Sushi,6,0.021739130434782608,IA
22,Desserts,6,0.021739130434782608,IA
60,Sandwich,6,0.021739130434782608,IA
36,Greek,6,0.021739130434782608,IA
1,American,6,0.021739130434782608,IA
0,American,3,0.02564102564102564,ID
12,Chinese,3,0.02564102564102564,ID
32,Ice Cream,3,0.02564102564102564,ID
33,Indian,3,0.02564102564102564,ID
22,Fast Food,3,0.02564102564102564,ID
36,Italian,3,0.02564102564102564,ID
18,Diner,3,0.02564102564102564,ID
17,Desserts,3,0.02564102564102564,ID
42,Mexican,3,0.02564102564102564,ID
45,Pizza,3,0.02564102564102564,ID
62,Japanese,10,0.012987012987012988,IL
60,Italian,10,0.012987012987012988,IL
42,Fast Food,10,0.012987012987012988,IL
93,Sandwich,10,0.012987012987012988,IL
83,Pizza,10,0.012987012987012988,IL
70,Mexican,10,0.012987012987012988,IL
25,Chinese,10,0.012987012987012988,IL
26,Coffee and Tea,10,0.012987012987012988,IL
57,International,10,0.012987012987012988,IL
96,Seafood,10,0.012987012987012988,IL
1,American,9,0.024193548387096774,IN
56,Sandwich,9,0.024193548387096774,IN
27,Fast Food,9,0.024193548387096774,IN
50,Pizza,9,0.024193548387096774,IN
32,Greek,9,0.024193548387096774,IN
63,Steak,9,0.024193548387096774,IN
22,Diner,9,0.024193548387096774,IN
46,Mexican,9,0.024193548387096774,IN
36,Ice Cream,9,0.024193548387096774,IN
17,Coffee and Tea,9,0.024193548387096774,IN
0,American,3,0.022388059701492536,KS
19,Donuts,3,0.022388059701492536,KS
23,French,3,0.022388059701492536,KS
31,Ice Cream,3,0.022388059701492536,KS
32,Indian,3,0.022388059701492536,KS
1,Asian,3,0.022388059701492536,KS
35,Italian,3,0.022388059701492536,KS
37,Japanese,3,0.022388059701492536,KS
42,Mexican,3,0.022388059701492536,KS
47,Pizza,3,0.022388059701492536,KS
0,American,1,0.030303030303030304,KY
17,Healthy Food,1,0.030303030303030304,KY
31,Tea,1,0.030303030303030304,KY
30,Sushi,1,0.030303030303030304,KY
29,Steak,1,0.030303030303030304,KY
28,Southern,1,0.030303030303030304,KY
27,Seafood,1,0.030303030303030304,KY
26,Sandwich,1,0.030303030303030304,KY
25,Salad,1,0.030303030303030304,KY
24,Pizza,1,0.030303030303030304,KY
44,Ice Cream,5,0.016233766233766232,LA
57,Mexican,5,0.016233766233766232,LA
33,Fast Food,5,0.016233766233766232,LA
36,French,5,0.016233766233766232,LA
40,Greek,5,0.016233766233766232,LA
43,Healthy Food,5,0.016233766233766232,LA
45,Indian,5,0.016233766233766232,LA
46,International,5,0.016233766233766232,LA
49,Italian,5,0.016233766233766232,LA
51,Japanese,5,0.016233766233766232,LA
25,Chinese,9,0.020930232558139535,MA
78,Pizza,9,0.020930232558139535,MA
87,Sandwich,9,0.020930232558139535,MA
89,Seafood,9,0.020930232558139535,MA
13,Breakfast,9,0.020930232558139535,MA
36,Donuts,9,0.020930232558139535,MA
10,Bar Food,9,0.020930232558139535,MA
69,Mexican,9,0.020930232558139535,MA
58,Italian,9,0.020930232558139535,MA
26,Coffee and Tea,9,0.020930232558139535,MA
0,Afghan,1,0.011111111111111112,MD
67,Salad,1,0.011111111111111112,MD
65,Pub Food,1,0.011111111111111112,MD
64,Portuguese,1,0.011111111111111112,MD
63,Pizza,1,0.011111111111111112,MD
62,Peruvian,1,0.011111111111111112,MD
61,Pakistani,1,0.011111111111111112,MD
60,New American,1,0.011111111111111112,MD
59,Moroccan,1,0.011111111111111112,MD
58,Middle Eastern,1,0.011111111111111112,MD
52,Indian,6,0.015748031496062992,MI
87,Southern,6,0.015748031496062992,MI
22,Chinese,6,0.015748031496062992,MI
23,Coffee and Tea,6,0.015748031496062992,MI
80,Sandwich,6,0.015748031496062992,MI
