,zcity_id,json
0,280,{-999: 'Missing'}
1,281,{-999: 'Missing'}
2,292,{-999: 'Missing'}
3,277,{-999: 'Missing'}
4,301,{-999: 'Missing'}
5,287,{-999: 'Missing'}
6,304,{-999: 'Missing'}
7,302,{-999: 'Missing'}
8,276,{-999: 'Missing'}
9,10883,{-999: 'Missing'}
10,278,{-999: 'Missing'}
11,574,{-999: 'Missing'}
12,10978,{-999: 'Missing'}
13,1021,{-999: 'Missing'}
14,303,{-999: 'Missing'}
15,306,{-999: 'Missing'}
16,279,{-999: 'Missing'}
17,305,{-999: 'Missing'}
18,283,{-999: 'Missing'}
19,289,{-999: 'Missing'}
20,1168,{-999: 'Missing'}
21,285,{-999: 'Missing'}
22,286,{-999: 'Missing'}
23,282,{-999: 'Missing'}
24,1144,{-999: 'Missing'}
25,787,{-999: 'Missing'}
26,1267,{-999: 'Missing'}
27,964,{-999: 'Missing'}
28,466,{-999: 'Missing'}
29,514,{-999: 'Missing'}
30,11187,{-999: 'Missing'}
31,499,{-999: 'Missing'}
32,288,{-999: 'Missing'}
33,946,{-999: 'Missing'}
34,291,{-999: 'Missing'}
35,10924,{-999: 'Missing'}
36,10773,{-999: 'Missing'}
37,1045,{-999: 'Missing'}
38,10981,{-999: 'Missing'}
39,290,{-999: 'Missing'}
40,730,{-999: 'Missing'}
41,496,{-999: 'Missing'}
42,1033,{-999: 'Missing'}
43,511,{-999: 'Missing'}
44,1174,{-999: 'Missing'}
45,508,{-999: 'Missing'}
46,1030,{-999: 'Missing'}
47,844,{-999: 'Missing'}
48,1081,{-999: 'Missing'}
49,943,{-999: 'Missing'}
50,415,{-999: 'Missing'}
51,11003,{-999: 'Missing'}
52,601,{-999: 'Missing'}
53,3976,{-999: 'Missing'}
54,1042,{-999: 'Missing'}
55,703,{-999: 'Missing'}
56,1177,{-999: 'Missing'}
57,3959,{-999: 'Missing'}
58,11188,{-999: 'Missing'}
59,1264,{-999: 'Missing'}
60,1189,{-999: 'Missing'}
61,11190,{-999: 'Missing'}
62,976,{-999: 'Missing'}
63,1012,{-999: 'Missing'}
64,11193,{-999: 'Missing'}
65,10796,{-999: 'Missing'}
66,10995,{-999: 'Missing'}
67,1240,{-999: 'Missing'}
68,757,{-999: 'Missing'}
69,10699,{-999: 'Missing'}
70,643,{-999: 'Missing'}
71,10963,{-999: 'Missing'}
72,907,{-999: 'Missing'}
73,421,{-999: 'Missing'}
74,817,{-999: 'Missing'}
75,430,{-999: 'Missing'}
76,1213,{-999: 'Missing'}
77,10991,{-999: 'Missing'}
78,1186,{-999: 'Missing'}
79,10959,{-999: 'Missing'}
80,11001,{-999: 'Missing'}
81,436,{-999: 'Missing'}
82,442,{-999: 'Missing'}
83,11191,{-999: 'Missing'}
84,10993,{-999: 'Missing'}
85,595,{-999: 'Missing'}
86,1153,{-999: 'Missing'}
87,766,{-999: 'Missing'}
88,5974,{-999: 'Missing'}
89,10650,{-999: 'Missing'}
90,1126,{-999: 'Missing'}
91,1141,{-999: 'Missing'}
92,1156,{-999: 'Missing'}
93,1096,{-999: 'Missing'}
94,10877,{-999: 'Missing'}
95,1063,{-999: 'Missing'}
96,862,{-999: 'Missing'}
97,11174,{-999: 'Missing'}
98,10797,{-999: 'Missing'}
99,1150,{-999: 'Missing'}
100,481,{-999: 'Missing'}
101,11265,{-999: 'Missing'}
102,6036,{-999: 'Missing'}
103,10823,{-999: 'Missing'}
104,10950,{-999: 'Missing'}
105,1201,{-999: 'Missing'}
106,10659,{-999: 'Missing'}
107,688,{-999: 'Missing'}
108,3816,{-999: 'Missing'}
109,619,{-999: 'Missing'}
110,10932,{-999: 'Missing'}
111,1204,{-999: 'Missing'}
112,988,{-999: 'Missing'}
113,11196,{-999: 'Missing'}
114,291,{-999: 'Missing'}
115,10949,{-999: 'Missing'}
116,11002,{-999: 'Missing'}
117,1015,{-999: 'Missing'}
118,10983,{-999: 'Missing'}
119,1162,{-999: 'Missing'}
120,1105,{-999: 'Missing'}
121,505,{-999: 'Missing'}
122,592,{-999: 'Missing'}
123,652,{-999: 'Missing'}
124,10903,{-999: 'Missing'}
125,10707,{-999: 'Missing'}
126,10821,{-999: 'Missing'}
127,10788,{-999: 'Missing'}
128,772,{-999: 'Missing'}
129,733,{-999: 'Missing'}
130,931,{-999: 'Missing'}
131,1180,{-999: 'Missing'}
132,1159,{-999: 'Missing'}
133,523,{-999: 'Missing'}
134,10815,{-999: 'Missing'}
135,10784,{-999: 'Missing'}
136,11005,{-999: 'Missing'}
137,814,{-999: 'Missing'}
138,715,{-999: 'Missing'}
139,1195,{-999: 'Missing'}
140,10795,{-999: 'Missing'}
141,1171,{-999: 'Missing'}
142,10942,{-999: 'Missing'}
143,490,{-999: 'Missing'}
144,700,{-999: 'Missing'}
145,535,{-999: 'Missing'}
146,10781,{-999: 'Missing'}
147,10675,{-999: 'Missing'}
148,11233,{-999: 'Missing'}
149,6007,{-999: 'Missing'}
150,694,{-999: 'Missing'}
151,8162,{-999: 'Missing'}
